"Epoch","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
<<<<<<< HEAD
"Testing Error","25.26923076923077","25.80769230769231","26.23076923076923","26.42307692307692","29.846153846153843","30.538461538461537","24.884615384615387","26.23076923076923","26.53846153846154","30.57692307692308","31.615384615384617","32.42307692307692","29.076923076923077","30.115384615384617","32.42307692307692","30.307692307692307","35.11538461538461","26.769230769230766","24.846153846153847","23.26923076923077"
"Training Error","26.19940390347082","25.737909816363814","26.54552446880108","27.43966926257091","29.968272281511393","31.42967022401692","25.54562061340256","26.17056052302663","26.55513892894914","30.833573694837035","32.410345159119316","33.37179117392559","29.295260071147005","30.52591097009903","33.47755023555427","30.477838669358714","35.45812902605518","27.132006537832904","25.497548312662243","24.180367272377655"
=======
<<<<<<< HEAD
"Testing Error","32.230769230769226","33.73076923076923","32.30769230769231","28.884615384615387","25.846153846153847","27.307692307692307","26.884615384615383","27.53846153846154","34.34615384615385","30.19230769230769","29.153846153846153","32.34615384615385","28.692307692307693","42.19230769230769","29.96153846153846","25.769230769230766","35.0","29.423076923076923","26.53846153846154","27.192307692307693"
"Training Error","32.910297086818574","34.13133352562254","32.910297086818574","30.10287472358427","25.891741178732815","28.33381405634074","27.680030766272473","27.71848860686472","34.7082011345063","31.506585905201423","29.708681857513703","33.006441688299205","29.583693875588885","42.06326314777426","30.698971252764157","26.564753389097202","35.679261609460625","30.227862705509086","27.410825882126716","27.98769349101048"
=======
"Testing Error","29.384615384615387","29.846153846153843","29.730769230769234","25.076923076923073","25.692307692307693","54.19230769230769","25.038461538461537","36.11538461538461","39.38461538461539","27.307692307692307","31.0","23.46153846153846","23.076923076923077","23.076923076923077","37.5","32.42307692307692","25.692307692307693","31.653846153846153","26.884615384615383","30.923076923076927"
"Training Error","30.03557350254783","29.95865782136333","30.00673012210364","26.05518700124988","25.362945870589364","54.76396500336506","25.1995000480723","35.91000865301414","39.102009422170944","27.2089222190174","31.92000769156812","24.093837131045092","23.959234688972213","24.08422267089703","37.29449091433516","33.41024901451783","25.516777232958372","32.01615229304874","26.651283530429765","31.593116046533986"
>>>>>>> ebc052c9c45e5d6d4f3d36aa2dbf3a3ba1f0e446
>>>>>>> 457871277212215aba488852538694a9bc0a1982
