"Network layers","[34, 6, 2]","[34, 4, 2]","[34, 2, 2]"
"Training error mean","23.038169406787809","24.619748101144122","25.161042207480047"
"Testing error mean","23.653846153846153","24.969230769230769","25.457692307692309"
"Training error real","23.224119366251347","23.491770496846637","24.607752653437931"
"Testing error real","24.93666666666666","25.050000000000001","26.106666666666666"

"0","22.074800499951927","23.40159600038458","28.06460917219498"
"0","22.94010191327757","24.574560138448227","23.7573310258629"
"0","21.209499086626284","22.738198250168253","23.997692529564464"
"0","22.132487260840303","22.44014998557831","26.04557254110182"
"0","23.218921257571388","29.718296317661764","24.959138544370735"
"0","22.79588501105663","23.7573310258629","33.37179117392559"
"0","23.37275261994039","23.488126141717142","22.420921065282183"
"0","23.08431881549851","23.54581290260552","23.565041822901645"
"0","21.603691952696856","26.487837707912696","22.593981347947313"
"0","27.94923565041823","26.04557254110182","22.83434285164888"

"0","22.192307692307693","24.384615384615387","27.73076923076923"
"0","22.846153846153847","25.115384615384617","23.846153846153847"
"0","21.69230769230769","22.96153846153846","24.384615384615387"
"0","23.46153846153846","22.26923076923077","26.30769230769231"
"0","24.307692307692307","29.807692307692307","25.346153846153847"
"0","23.576923076923077","23.384615384615383","33.88461538461539"
"0","24.153846153846153","24.307692307692307","22.884615384615383"
"0","23.576923076923077","24.576923076923077","23.653846153846153"
"0","22.576923076923077","26.153846153846157","23.23076923076923"
"0","28.153846153846153","26.73076923076923","23.307692307692307"

"0","21.21212121212121","22.01968927857253","30.226119058606365"
"0","28.357175819104754","22.9964620827565","22.727272727272727"
"0","21.73511767420397","24.673127211198278","22.565759113982466"
"0","24.45777572681126","25.09613905552992","24.334717735732962"
"0","20.91985848331026","21.712044300876787","24.296262113520996"
"0","21.75819104753115","21.80433779418551","25.05768343331795"
"0","24.957698815566836","22.011998154130133","24.38855560682972"
"0","24.25780649130903","23.88094139363175","24.773111828949393"
"0","22.396554376249806","22.727272727272727","25.24227041993539"
"0","22.188894016305184","27.99569297031226","22.46577449623135"

"0","24.433333333333334","23.5","29.7"
"0","27.833333333333332","24.333333333333336","24.46666666666667"
"0","24.366666666666667","26.6","24.6"
"0","25.966666666666665","26.93333333333333","25.2"
"0","24.066666666666666","23.966666666666665","25.866666666666667"
"0","23.633333333333333","23.866666666666667","27.066666666666666"
"0","25.6","24.233333333333334","26.1"
"0","24.933333333333334","25.466666666666665","26.3"
"0","24.266666666666666","24.2","27.066666666666666"
"0","24.266666666666666","27.400000000000002","24.7"
